DEPT	CODE_COAL	Lay	AC	GR	CILD	DEN	CLL8	RT	AT10	AT20	AT30	AT60	AT90
2221.0	7	CT	255.560	52.065	215.751	2.396	109.125	4.636	9.165	7.454	6.353	4.987	4.636
2221.1	7	CT	253.695	51.674	211.730	2.404	106.881	4.723	9.357	7.589	6.474	5.081	4.723
2221.2	7	CT	251.640	53.261	207.176	2.411	104.451	4.828	9.576	7.741	6.614	5.193	4.828
2221.3	7	CT	249.480	55.437	201.763	2.415	101.744	4.959	9.833	7.927	6.784	5.332	4.959
2221.4	7	CT	247.156	56.735	195.643	2.417	98.840	5.115	10.122	8.143	6.986	5.499	5.115
2221.5	7	CT	244.643	56.602	189.315	2.416	95.946	5.285	10.426	8.374	7.203	5.680	5.285
2221.6	7	CT	241.986	55.438	183.588	2.416	93.374	5.448	10.711	8.586	7.408	5.854	5.448
2221.7	7	CT	239.589	54.836	179.611	2.418	91.541	5.568	10.926	8.727	7.550	5.982	5.568
2221.8	7	CT	238.047	54.331	177.294	2.421	90.302	5.641	11.075	8.795	7.626	6.057	5.641
2221.9	7	CT	237.546	53.972	175.941	2.427	89.333	5.684	11.195	8.820	7.662	6.101	5.684
2222.0	7	CT	238.028	53.944	174.985	2.435	88.421	5.715	11.310	8.831	7.682	6.133	5.715
2222.1	7	CT	239.280	54.033	174.078	2.444	87.488	5.744	11.430	8.844	7.700	6.164	5.744
2222.2	7	CT	240.734	53.168	173.416	2.451	86.862	5.766	11.513	8.850	7.711	6.186	5.766
2222.3	7	CT	241.680	52.047	173.247	2.458	86.750	5.772	11.528	8.833	7.702	6.191	5.772
2222.4	7	CT	241.954	52.149	173.691	2.461	87.209	5.757	11.467	8.788	7.669	6.175	5.757
2222.5	7	CT	241.677	53.655	174.950	2.463	88.315	5.716	11.325	8.705	7.603	6.130	5.716
2222.6	7	CT	241.113	54.978	177.363	2.462	90.189	5.639	11.089	8.571	7.493	6.047	5.639
2222.7	7	CT	240.867	54.911	181.648	2.461	93.076	5.507	10.749	8.360	7.315	5.906	5.507
2222.8	7	CT	241.301	54.519	187.297	2.460	96.613	5.342	10.358	8.106	7.098	5.730	5.342
2222.9	7	CT	242.270	54.151	193.218	2.457	100.209	5.178	9.986	7.860	6.886	5.555	5.178
2223.0	7	CT	243.449	53.650	198.334	2.452	103.324	5.044	9.681	7.666	6.717	5.412	5.044
2223.1	7	CT	244.446	52.791	201.690	2.447	105.515	4.959	9.478	7.554	6.619	5.323	4.959
2223.2	7	CT	244.576	52.780	202.374	2.442	106.388	4.942	9.399	7.555	6.616	5.306	4.942
2223.3	7	CT	243.768	53.406	201.193	2.438	106.330	4.971	9.405	7.637	6.681	5.340	4.971
2223.4	7	CT	242.404	54.872	199.005	2.433	105.673	5.026	9.463	7.768	6.785	5.403	5.026
2223.5	7	CT	240.936	57.133	196.383	2.428	104.570	5.093	9.563	7.930	6.911	5.478	5.093
2223.6	7	CT	239.810	59.342	193.747	2.424	103.091	5.162	9.700	8.106	7.045	5.557	5.162
2223.7	7	CT	239.679	59.815	192.014	2.420	101.292	5.208	9.874	8.265	7.154	5.612	5.208
2223.8	7	CT	240.500	59.393	191.423	2.415	99.435	5.224	10.059	8.389	7.223	5.635	5.224
2223.9	7	CT	241.873	58.702	191.740	2.412	97.608	5.215	10.247	8.482	7.261	5.632	5.215
2224.0	7	CT	243.391	57.727	192.624	2.409	95.863	5.192	10.433	8.553	7.275	5.613	5.192
2224.1	7	CT	244.686	56.108	193.674	2.407	94.281	5.163	10.607	8.616	7.283	5.588	5.163
2224.2	7	CT	245.313	54.130	194.866	2.407	93.271	5.132	10.722	8.661	7.282	5.560	5.132
2224.3	7	CT	245.372	53.013	196.193	2.408	92.899	5.097	10.765	8.683	7.272	5.528	5.097
2224.4	7	CT	245.172	52.418	197.266	2.410	92.942	5.069	10.760	8.697	7.267	5.503	5.069
2224.5	7	CT	244.984	51.558	197.700	2.411	93.128	5.059	10.738	8.719	7.279	5.496	5.059
2224.6	7	CT	245.014	49.848	197.283	2.413	93.189	5.069	10.731	8.760	7.317	5.511	5.069
2224.7	7	CT	245.444	49.021	196.272	2.413	93.070	5.095	10.745	8.810	7.370	5.543	5.095
2224.8	7	CT	246.114	49.218	195.199	2.413	92.899	5.123	10.765	8.851	7.420	5.576	5.123
2224.9	7	CT	246.834	50.110	194.073	2.413	92.696	5.152	10.788	8.884	7.467	5.610	5.152
2225.0	7	CT	247.464	51.352	192.749	2.412	92.471	5.188	10.814	8.917	7.518	5.650	5.188
2225.1	7	CT	247.901	52.444	191.135	2.410	92.272	5.232	10.837	8.957	7.577	5.699	5.232
2225.2	7	CT	247.972	53.955	189.270	2.407	92.359	5.284	10.827	8.998	7.646	5.756	5.284
