No.	Well	Dep  Dist		Code	AC 	CNL 	DEN 	GR 	PE 	RLLD
1292	79-06	3496.600	0.372	6	168.7420	1.2080	2.9800	17.3310	4.5940	4022.7320
1293	79-06	3507.600	0.373	6	158.9810	3.0710	2.9700	17.5990	5.0300	14184.1010
1294	79-06	3493.800	0.378	6	163.6190	1.2020	2.9760	25.2490	4.3450	9211.6460
1295	79-06	3496.500	0.379	6	166.1010	1.2410	2.9800	21.3840	4.8430	3725.0950
1296	71-05	3525.200	0.382	6	150.7850	2.6500	2.9030	23.3890	4.3870	43221.0160
1297	79-06	3503.100	0.387	6	175.3290	6.5700	2.9100	14.5830	4.9540	242.8090
1298	79-06	3488.900	0.395	6	162.8570	0.9200	2.9690	14.7440	4.3410	14026.7620
1299	79-06	3494.900	0.399	6	159.4590	2.2750	2.9510	19.6620	4.1280	31553.5760
1300	77-05	3485.700	0.405	6	169.1950	0.0640	2.9530	8.6830	4.7670	41596.9260
1301	71-2	3527.200	0.415	6	162.1830	-0.0860	2.9590	16.3620	4.7530	58856.6250
1302	63-03	3530.200	0.422	6	170.3240	-1.9540	2.9130	28.8540	4.4700	9558.7800
1303	79-06	3496.900	0.424	6	168.8580	1.4020	2.9750	16.6080	4.9980	5010.1180
1304	70-04	3635.400	0.426	6	162.7870	2.0000	2.9000	27.9410	5.2360	4593.9340
1305	79-06	3503.700	0.427	6	165.5780	1.8730	2.9100	16.0440	5.2020	23118.1000
1306	77-05	3487.500	0.429	6	164.5100	0.9210	2.8810	15.9660	4.7410	35246.1520
1307	79-06	3497.100	0.433	6	167.8960	1.3510	2.9730	15.0190	5.0250	6668.5890
1308	79-06	3503.800	0.434	6	162.5200	1.0770	2.9330	16.3590	5.1650	36267.3630
1309	79-06	3493.500	0.436	6	162.9050	1.0290	2.9730	8.4320	4.4880	26506.2810
1310	79-06	3503.900	0.445	6	160.5420	0.9300	2.9590	16.2070	5.0330	41251.3830
1311	79-06	3504.100	0.446	6	159.9530	0.9820	2.9660	16.1220	4.9570	41651.3320
1312	79-06	3504.800	0.447	6	147.5410	2.9860	2.9270	14.9830	4.2280	13865.8500
1313	77-05	3487.400	0.447	6	163.2320	1.5380	2.8690	25.3360	4.6090	22017.8130
1314	79-06	3487.400	0.448	6	160.6240	0.2530	2.9550	14.7220	5.0480	20902.7230
1315	79-06	3503.200	0.452	6	176.3650	7.2020	2.9010	15.0940	4.9310	229.4700
1316	71-05	3509.900	0.452	6	160.2900	1.1500	2.9440	14.6640	4.0910	19380.2420
1317	71-05	3520.600	0.456	6	157.1790	1.6080	2.9370	15.0620	5.1550	38837.7420
1318	79-06	3504.200	0.463	6	157.9040	1.3910	2.9790	15.7040	4.6330	40731.6050
1319	70-04	3631.600	0.465	6	168.4100	6.1840	2.8610	28.2690	4.6810	1229.6950
1320	79-06	3493.400	0.467	6	163.1840	1.4070	2.9760	11.5760	4.2980	16208.4210
1321	77-05	3488.100	0.472	6	166.4120	1.9540	2.8770	9.0640	4.7700	41715.8670
1322	70-04	3635.200	0.475	6	169.2120	3.3070	2.8640	30.2210	4.8400	972.5470
1323	79-06	3508.500	0.479	6	161.3220	3.1610	2.9880	16.4020	4.9580	14213.7070
1324	79-06	3490.300	0.484	6	162.3920	0.0780	2.9560	7.0210	4.9340	41251.6410
1325	79-06	3493.600	0.486	6	163.3210	1.5300	2.9770	13.6150	4.2300	12029.7230
1326	79-06	3490.400	0.489	6	160.6240	0.5000	2.9700	8.4830	4.4540	38745.9300
1327	63-03	3529.900	0.496	6	175.1550	-0.3830	2.9060	52.0460	4.3450	1483.0770
1328	79-06	3488.800	0.507	6	163.5340	0.4880	2.9690	12.2490	4.2610	27258.4470
1329	79-06	3508.400	0.524	6	160.9120	3.1450	2.9900	16.9810	5.0000	14217.4610
1330	79-06	3489.300	0.527	6	163.3890	0.4270	2.9830	13.1230	4.8570	16440.4140
1331	77-05	3486.200	0.527	6	169.5260	0.8050	2.9080	6.0440	5.1040	41850.4410
1332	70-04	3628.100	0.532	6	155.4270	1.6480	2.9510	30.1000	4.0550	41510.2810
1333	79-06	3487.600	0.537	6	161.8640	0.0190	2.9610	13.4220	5.0930	25400.8830
1334	55-010	3408.900	0.542	6	160.9940	9.6540	2.8950	20.9160	4.4660	126.2480
1335	63-03	3530.300	0.548	6	168.8550	-2.5220	2.9080	18.6650	4.5490	31373.4080
1336	79-06	3504.700	0.553	6	148.7020	2.9840	2.9470	14.8720	4.0940	15796.7210
1337	79-06	3490.200	0.567	6	163.6440	-0.2160	2.9470	6.5400	5.0950	41549.0160
1338	79-06	3506.000	0.574	6	146.4410	3.1310	2.8920	14.0060	4.2690	14027.6570
1339	77-05	3499.600	0.578	6	180.1370	2.7720	2.8670	43.4460	4.7230	2075.5990
1340	79-06	3489.500	0.582	6	163.5770	0.2760	2.9850	12.6090	4.8950	20140.9360
1341	79-06	3490.600	0.599	6	160.0720	0.6700	2.9740	9.1340	4.2460	36683.1020
1342	79-06	3505.800	0.606	6	146.2320	3.1010	2.8840	14.0240	4.3310	14029.2670
1343	77-05	3499.800	0.614	6	179.1930	2.6050	2.8630	43.5260	4.7690	2468.8790
1344	63-03	3530.400	0.628	6	169.0540	-2.6850	2.9010	15.2980	4.5930	41733.5820
1345	79-06	3488.400	0.633	6	165.4300	-0.5810	2.9760	6.2740	4.8460	41672.9530
1346	79-06	3489.400	0.640	6	163.8060	-0.0010	2.9830	11.1550	4.9580	29234.3730
1347	79-06	3504.600	0.642	6	150.8590	2.8130	2.9650	15.2020	4.0580	22406.6370
1348	79-06	3490.000	0.646	6	164.0950	-0.5050	2.9470	6.4680	5.1670	41611.0120
1349	79-06	3489.800	0.658	6	164.0550	-0.4940	2.9520	6.5460	5.1610	41589.0940
1350	71-05	3519.100	0.668	6	161.5310	3.4210	2.8490	43.1370	4.8460	2404.2620
1351	77-05	3499.900	0.684	6	171.3440	2.3580	2.8510	43.7970	4.8450	3263.3440
1352	63-03	3530.700	0.695	6	169.0210	-2.6410	2.8900	14.1500	4.6070	42224.4650
1353	79-06	3495.600	0.709	6	159.5500	0.2140	2.9710	9.9830	4.1130	41339.9380
1354	63-03	3532.900	0.734	6	169.0410	-3.5620	2.8970	24.6570	4.4860	38933.5860
1355	57-04	3539.200	0.744	6	158.4820	11.7070	2.9020	37.8490	4.3640	128.2700
1356	63-03	3531.000	0.751	6	168.5460	-2.4070	2.8800	15.9630	4.4870	42034.4490
1357	57-09	3395.500	0.778	6	151.9560	11.0410	2.9000	15.3120	4.2400	366.9660
1358	63-03	3532.800	0.784	6	172.1500	-3.4460	2.8930	46.1280	4.4400	20633.8400
