No.	Well	Top	Bot	Code	AC 	CNL 	DEN 	GR 	PE 	RLLD 	SAC_XG_NEW 	POR 	SOG 	SH 	CAL 
704	17-21	3185.350	3185.750	0	208.1390	-9999.5000	2.6120	85.7422	3.1596	76.4370	-9999.5000	4.2840	35.3922	-9999.5000	22.3452
705	17-21	3185.750	3186.350	1	205.6484	-9999.5000	2.6160	78.7600	2.7473	82.2740	-9999.5000	4.2909	35.6934	-9999.5000	22.3141
706	17-21	3186.350	3187.350	0	207.7824	-9999.5000	2.6162	89.4116	2.7764	71.8275	-9999.5000	4.2852	31.2491	-9999.5000	22.3547
707	17-21	3187.350	3187.650	1	199.7767	-9999.5000	2.6143	86.5662	2.5627	78.8920	-9999.5000	3.2233	12.9648	-9999.5000	22.2888
708	17-21	3204.850	3205.550	1	212.9087	-9999.5000	2.6364	84.8785	2.8799	99.9954	-9999.5000	5.3899	53.8479	-9999.5000	21.9458
709	17-21	3205.550	3206.150	0	215.8011	-9999.5000	2.6371	96.9737	2.6247	64.8617	-9999.5000	5.7386	43.0649	-9999.5000	22.0746
710	17-21	3206.150	3207.150	1	211.3633	-9999.5000	2.6215	80.6089	2.3523	50.0205	-9999.5000	4.7585	29.5876	-9999.5000	22.2402
711	17-21	3212.050	3213.950	1	222.0317	-9999.5000	2.6279	77.4585	2.5610	45.0112	-9999.5000	7.0685	46.2769	-9999.5000	22.7095
712	17-21	3213.950	3216.250	7	230.6244	-9999.5000	2.5185	70.5160	2.2885	53.4805	-9999.5000	7.7524	61.5929	-9999.5000	22.7077
713	17-21	3220.550	3221.350	1	214.3002	-9999.5000	2.6034	81.3842	2.3308	53.0307	-9999.5000	5.5462	39.6583	-9999.5000	22.5063
714	17-21	3221.350	3222.350	0	209.7645	-9999.5000	2.6040	99.5560	2.4127	63.9079	-9999.5000	4.7965	35.8629	-9999.5000	22.3787
715	17-21	3222.350	3225.450	7	218.1644	-9999.5000	2.5418	61.6041	2.2907	56.6557	-9999.5000	5.9606	47.4667	-9999.5000	22.6691
716	17-21	3228.150	3230.350	8	232.6956	-9999.5000	2.4555	52.7425	2.1608	75.2150	-9999.5000	6.9504	63.8571	-9999.5000	22.4333
717	17-21	3231.950	3234.450	8	223.2703	-9999.5000	2.4815	51.8125	2.2789	111.3133	-9999.5000	6.5905	64.2120	-9999.5000	22.5392
718	17-21	3235.750	3236.550	1	213.5692	-9999.5000	2.6361	78.7736	2.8154	57.7834	-9999.5000	0.1000	-9999.5000	-9999.5000	22.2807
719	17-21	3242.850	3245.950	1	219.9631	-9999.5000	2.5862	73.6895	2.9049	46.5528	-9999.5000	6.6158	47.3653	-9999.5000	22.4855
720	17-21	3245.950	3246.650	0	214.1960	-9999.5000	2.5745	89.5351	2.3965	36.6404	-9999.5000	4.9581	26.7139	-9999.5000	22.4751
721	17-21	3246.650	3248.950	1	211.1140	-9999.5000	2.5384	68.6406	2.3090	56.0792	-9999.5000	5.1887	43.3937	-9999.5000	22.3935
722	17-21	3249.150	3250.050	1	210.2546	-9999.5000	2.6023	76.4018	2.2758	84.2664	-9999.5000	3.6804	47.8880	-9999.5000	21.9771
723	17-21	3302.350	3302.850	1	203.8777	-9999.5000	2.7002	81.8573	2.9747	137.0063	-9999.5000	3.9785	50.3662	-9999.5000	21.7210
724	17-21	3302.850	3308.450	0	217.7588	-9999.5000	2.6482	100.6475	2.7355	87.1934	-9999.5000	4.8546	55.4135	-9999.5000	21.8189
725	17-21	3308.450	3309.650	1	226.3504	-9999.5000	2.5946	79.6375	2.5216	76.0092	-9999.5000	6.6622	61.8283	-9999.5000	22.0933
726	17-21	3310.550	3311.350	0	381.5853	-9999.5000	1.7488	152.9589	1.6600	163.9328	-9999.5000	0.1000	-9999.5000	-9999.5000	24.6826
727	17-21	3327.750	3328.750	0	312.4768	-9999.5000	2.0918	133.1035	1.9523	405.2651	-9999.5000	0.1000	-9999.5000	-9999.5000	22.4094
728	17-21	3330.250	3331.250	0	306.6735	-9999.5000	2.2725	150.8119	2.4180	79.9574	-9999.5000	0.1000	-9999.5000	-9999.5000	21.7376
729	17-23	3277.400	3279.500	7	214.6243	12.7068	2.5553	52.9029	2.5327	52.2813	-9999.5000	5.6421	30.4729	-9999.5000	21.5521
730	17-23	3279.500	3279.800	0	205.7145	13.9797	2.6070	86.9385	2.6280	53.6062	-9999.5000	4.0317	-9999.5000	-9999.5000	21.4823
731	17-23	3279.800	3281.700	1	211.2321	14.0772	2.6249	73.2961	2.7808	49.8069	-9999.5000	4.8356	16.3336	-9999.5000	21.5028
732	17-23	3290.300	3291.300	1	206.6616	14.1599	2.6338	57.8061	3.3156	148.3421	-9999.5000	3.7005	38.0817	-9999.5000	21.5559
733	17-23	3297.800	3298.700	1	221.3885	15.3034	2.5664	80.4984	2.8703	37.5822	-9999.5000	6.8177	29.9399	-9999.5000	21.4572
734	17-23	3298.700	3299.000	0	212.3302	13.6490	2.6175	85.7348	2.6768	49.5055	-9999.5000	5.3670	22.3400	-9999.5000	21.4363
735	17-23	3299.000	3300.100	1	214.5902	14.3458	2.6321	80.4662	2.8370	43.4697	-9999.5000	5.5948	20.0377	-9999.5000	21.6368
736	17-23	3300.100	3300.500	0	219.0846	15.4126	2.6124	83.6660	3.0096	38.0550	-9999.5000	6.3708	25.7988	-9999.5000	21.8050
737	17-23	3300.500	3303.000	1	215.2500	14.2308	2.6137	70.9353	2.8286	47.0726	-9999.5000	5.2462	23.0935	-9999.5000	21.4739
738	17-23	3312.000	3312.400	1	215.5842	13.7362	2.6016	83.9066	2.5798	51.7382	-9999.5000	0.1000	-9999.5000	-9999.5000	21.3862
739	17-23	3313.100	3320.600	8	223.8056	5.8708	2.5202	46.8781	2.3367	72.4556	-9999.5000	8.2002	57.1299	-9999.5000	21.4403
740	17-23	3320.600	3320.900	1	221.3755	4.4890	2.6130	81.3492	2.3790	51.2340	-9999.5000	4.1827	-9999.5000	-9999.5000	21.4270
741	17-23	3320.900	3321.200	0	216.4092	5.5455	2.5990	73.2880	2.5060	59.4675	-9999.5000	4.6050	-9999.5000	-9999.5000	21.3972
742	17-23	3321.200	3322.300	7	209.5088	2.0216	2.5760	41.6187	2.2994	79.4304	-9999.5000	5.7529	41.3451	-9999.5000	21.3822
743	17-23	3322.300	3323.200	1	212.1092	3.5504	2.5805	58.6114	2.4340	60.3476	-9999.5000	5.4604	28.0836	-9999.5000	21.5778
744	17-23	3323.200	3327.200	8	219.6184	3.3642	2.5060	39.1277	2.2279	58.9990	-9999.5000	8.8786	56.6361	-9999.5000	21.4029
745	17-23	3327.200	3329.500	1	214.2252	8.9043	2.6190	71.9486	2.4258	38.4524	-9999.5000	4.6411	11.2078	-9999.5000	21.4523
746	17-23	3329.500	3332.000	7	219.7407	5.8712	2.5778	54.3358	2.3954	39.8994	-9999.5000	6.9795	32.6601	-9999.5000	21.4721
747	17-23	3332.000	3335.300	1	211.3469	6.4846	2.6375	73.0667	2.5974	42.7873	-9999.5000	4.3502	10.0971	-9999.5000	21.3108
748	17-23	3335.800	3337.300	7	204.3623	6.3224	2.6006	75.0169	2.3827	106.8369	-9999.5000	5.5682	48.3289	-9999.5000	21.3896
749	17-23	3337.900	3339.100	1	210.5677	8.2620	2.5998	76.5183	2.9690	75.4346	-9999.5000	5.3135	41.4184	-9999.5000	21.4057
750	17-23	3353.100	3353.700	1	204.9911	9.3530	2.6303	76.5943	2.9607	94.9464	-9999.5000	3.0177	21.4515	-9999.5000	21.3444
751	17-23	3357.700	3358.200	1	216.6790	13.9498	2.6515	81.2153	2.8502	60.0062	-9999.5000	5.9293	36.1570	-9999.5000	21.3867
752	17-23	3358.200	3358.700	0	219.5388	12.0003	2.6273	82.9828	2.5657	78.1913	-9999.5000	6.4740	48.2513	-9999.5000	21.3948
753	17-23	3358.700	3360.300	7	220.6439	7.0452	2.5485	51.0381	2.4021	150.6411	-9999.5000	5.9399	61.0783	-9999.5000	21.3105
754	17-23	3376.500	3377.600	1	217.2941	11.7080	2.6015	75.7119	2.9482	76.3354	-9999.5000	6.0010	44.2577	-9999.5000	21.3183
755	17-23	3379.100	3379.600	1	204.7388	6.1320	2.6393	58.1233	2.8180	119.5790	-9999.5000	3.8793	28.8502	-9999.5000	21.1303
756	17-23	3379.600	3382.300	7	222.3152	10.5795	2.6018	62.0998	2.7300	81.9938	-9999.5000	6.9271	51.1676	-9999.5000	21.2397
757	17-23	3382.300	3384.300	1	205.3144	13.2391	2.6778	77.4607	2.8801	73.5104	-9999.5000	3.8576	14.2999	-9999.5000	21.3283
758	17-23	3393.700	3394.800	0	344.2029	43.0872	1.8094	144.4132	1.0632	4540.1616	-9999.5000	0.1000	-9999.5000	-9999.5000	21.4163
759	17-23	3403.400	3403.700	1	211.1040	15.5225	2.6298	84.6790	3.1510	62.0380	-9999.5000	4.9700	24.7392	-9999.5000	21.4280
760	17-23	3403.700	3404.300	0	216.7463	11.7631	2.5749	83.3971	2.9164	48.1666	-9999.5000	5.9766	29.5050	-9999.5000	21.3731
761	17-23	3404.300	3404.800	1	219.6155	7.5595	2.5585	56.9470	2.3502	41.4165	-9999.5000	6.4467	29.5147	-9999.5000	21.3247
762	17-23	3404.800	3406.000	7	219.4394	8.3652	2.5599	59.3951	2.5711	54.1565	-9999.5000	6.4809	37.5752	-9999.5000	21.4803
763	17-23	3406.000	3407.200	1	213.3017	10.9922	2.6307	87.7895	3.2515	85.9962	-9999.5000	4.7035	37.0417	-9999.5000	21.4422
764	17-23	3410.200	3410.800	1	209.7451	8.4427	2.6326	75.8846	2.5477	71.3660	-9999.5000	4.7860	26.8833	-9999.5000	21.4673
765	17-23	3410.800	3411.500	0	217.6810	8.8135	2.6109	84.8842	2.5336	50.3516	-9999.5000	6.1339	32.7900	-9999.5000	21.4374
766	17-23	3411.500	3413.600	1	212.4733	10.0011	2.6351	64.7565	2.5501	55.1429	-9999.5000	5.2743	24.2286	-9999.5000	21.4113
767	17-23	3413.600	3418.100	7	221.8410	9.7138	2.5887	61.7955	2.5427	40.1382	-9999.5000	6.7946	31.0597	-9999.5000	21.4493
768	17-23	3430.700	3431.500	0	321.1778	38.6384	1.9438	148.2543	1.2739	126.8718	-9999.5000	0.1000	-9999.5000	-9999.5000	22.1178
769	17-23	3439.200	3439.600	0	308.5726	47.1398	1.8710	186.9450	2.3694	2243.5388	-9999.5000	0.1000	-9999.5000	-9999.5000	21.5302
770	17-23	3443.400	3444.000	0	326.5307	45.7836	1.6524	87.3650	0.5861	5089.1569	-9999.5000	0.1000	-9999.5000	-9999.5000	21.8124
771	17-23	3453.800	3456.800	10	387.0498	44.8503	1.5091	87.3464	0.6573	4059.4486	-9999.5000	0.1000	-9999.5000	-9999.5000	22.7001
772	19-20	3417.800	3419.300	7	163.3949	9.0069	2.7811	19.2674	3.5048	222.3292	291.9108	3.4328	48.0544	-9999.5000	22.9381
773	19-20	3420.000	3421.000	1	150.8085	8.1515	2.8458	20.0664	3.6880	180.0294	284.3274	0.1000	-9999.5000	-9999.5000	22.7113
774	19-20	3426.100	3427.600	8	164.5826	11.5041	2.7478	17.9400	3.3439	145.5917	295.6922	4.4450	59.1021	-9999.5000	22.7356
775	19-20	3435.100	3435.800	1	155.3581	6.2916	2.7845	28.7636	3.7215	591.1297	289.5828	0.1020	-9999.5000	-9999.5000	22.8983
776	19-20	3436.300	3436.700	0	183.0554	16.4326	2.8158	129.8112	3.0664	46.5382	326.2466	0.1000	-9999.5000	-9999.5000	22.9186
777	19-20	3440.100	3441.100	1	157.9657	8.6061	2.7875	34.0380	3.6874	369.0358	294.4307	0.2943	-9999.5000	-9999.5000	22.9444
778	19-20	3442.000	3442.400	0	192.7394	13.7296	2.7956	118.6442	3.2580	50.8574	327.7590	0.1000	-9999.5000	-9999.5000	22.7452
779	19-20	3444.300	3446.600	7	160.8317	7.3835	2.7743	18.0818	3.5296	183.1691	289.2740	2.1332	35.4737	-9999.5000	23.1269
780	19-20	3446.900	3447.500	0	188.8527	14.3296	2.7851	104.2833	4.0317	73.4314	319.9314	0.1000	-9999.5000	-9999.5000	23.2797
781	19-20	3450.400	3451.100	0	188.5095	10.5799	2.7684	107.0511	4.0319	118.7330	328.6029	0.1000	-9999.5000	-9999.5000	23.5079
782	19-20	3460.300	3460.600	0	172.1380	9.5512	2.8105	102.5002	3.4300	249.7065	303.0933	0.1000	-9999.5000	-9999.5000	23.4100
783	19-20	3462.700	3463.200	0	174.7062	11.7258	2.7968	97.4148	4.0498	212.0380	319.3863	0.1000	-9999.5000	-9999.5000	23.4372
784	19-20	3466.900	3467.400	0	173.2965	12.0137	2.8392	92.5498	3.2083	219.5632	305.1833	0.1000	-9999.5000	-9999.5000	23.3145
785	19-20	3469.900	3475.000	8	175.5949	12.9963	2.6549	20.1968	3.3213	38.9626	326.2351	7.4263	51.3169	-9999.5000	23.1728
786	20-14	3228.289	3228.989	1	217.0153	-9999.5000	2.6835	76.0246	3.7242	35.5551	-9999.5000	0.1000	-9999.5000	-9999.5000	21.0486
787	20-14	3237.489	3244.289	1	212.6978	-9999.5000	2.6092	62.0248	2.5514	43.2914	-9999.5000	5.2128	19.3322	-9999.5000	21.1748
788	20-14	3261.089	3261.789	1	198.7685	-9999.5000	2.6669	83.8432	2.5377	71.0165	-9999.5000	0.1000	-9999.5000	-9999.5000	21.2152
789	20-14	3262.489	3263.189	8	231.9496	-9999.5000	2.4100	74.8481	2.2449	103.0080	-9999.5000	9.0366	69.4123	-9999.5000	21.0706
790	20-14	3263.189	3263.489	0	249.4190	-9999.5000	2.3567	79.5935	2.1340	92.9910	-9999.5000	11.4002	75.2775	-9999.5000	21.4820
791	20-14	3263.489	3265.389	8	229.1331	-9999.5000	2.3279	55.9605	2.2956	156.7605	-9999.5000	6.9785	68.3139	-9999.5000	21.1189
792	20-14	3312.089	3312.789	1	219.0049	-9999.5000	2.6015	75.7151	2.8131	53.0614	-9999.5000	7.1591	29.7506	-9999.5000	21.5499
793	20-14	3312.789	3313.089	0	240.6855	-9999.5000	2.5933	86.5090	2.6750	41.8398	-9999.5000	10.4310	51.8165	-9999.5000	21.6510
794	20-14	3313.089	3314.989	1	226.8692	-9999.5000	2.5831	69.7698	2.6124	49.3875	-9999.5000	6.8648	33.2735	-9999.5000	21.2882
795	20-14	3318.689	3320.289	1	213.9705	-9999.5000	2.5888	62.6769	2.4706	151.2644	-9999.5000	4.9894	48.1212	-9999.5000	21.0777
796	20-14	3328.089	3335.489	1	223.1823	-9999.5000	2.5857	66.2651	2.5682	57.3401	-9999.5000	7.1655	37.0681	-9999.5000	21.0010
797	20-14	3335.489	3337.589	7	233.5771	-9999.5000	2.4889	40.9540	2.3327	153.6215	-9999.5000	8.1785	68.6239	-9999.5000	21.0795
798	20-14	3342.389	3342.789	0	331.1666	-9999.5000	2.2002	140.8076	1.8496	10.1642	-9999.5000	0.1000	-9999.5000	-9999.5000	28.0300
799	20-14	3345.589	3347.189	1	240.9352	-9999.5000	2.7225	83.0112	4.2519	18.1933	-9999.5000	8.5661	19.4577	-9999.5000	21.1734
800	20-14	3354.689	3355.389	1	208.3717	-9999.5000	2.6416	81.2018	2.2842	59.4419	-9999.5000	3.2492	-9999.5000	-9999.5000	21.0063
801	20-14	3355.689	3356.289	0	312.5284	-9999.5000	2.3923	167.4371	2.0749	426.6103	-9999.5000	0.1000	-9999.5000	-9999.5000	21.1763
802	20-14	3359.789	3361.589	1	184.1479	-9999.5000	2.7210	59.2316	3.5831	382.9061	-9999.5000	0.1000	-9999.5000	-9999.5000	20.8653
803	20-14	3383.789	3384.589	1	196.8868	-9999.5000	2.6404	31.3932	2.7542	156.5384	-9999.5000	0.1000	-9999.5000	-9999.5000	21.3710
804	20-21	3199.600	3200.100	1	202.3737	14.6682	2.6388	86.2057	3.3360	81.6705	-9999.5000	0.1000	-9999.5000	-9999.5000	21.9287
805	20-21	3202.600	3203.300	1	201.6764	10.2380	2.6409	76.6909	3.0244	119.8135	-9999.5000	0.1000	-9999.5000	-9999.5000	21.9745
806	20-21	3205.600	3207.200	1	207.6052	14.1616	2.6387	79.2635	3.0282	61.6309	-9999.5000	3.8645	18.4708	-9999.5000	22.0560
807	20-21	3207.500	3212.500	1	210.4792	14.0418	2.6377	65.9937	3.0055	51.5439	-9999.5000	4.7666	19.2697	-9999.5000	22.2523
808	20-21	3214.500	3217.200	1	213.4353	12.8165	2.5844	75.5687	2.7700	62.1027	-9999.5000	5.0549	31.2429	-9999.5000	22.3809
809	20-21	3233.100	3238.600	1	206.9773	5.9615	2.6137	54.8952	2.3817	80.0369	-9999.5000	4.3222	28.6295	-9999.5000	21.8812
810	20-21	3238.600	3239.700	0	209.2891	6.5260	2.6258	91.9107	2.2848	62.9567	-9999.5000	4.7457	27.0836	-9999.5000	21.9714
811	20-21	3239.700	3242.200	1	212.3395	5.4599	2.6188	56.8386	2.1835	64.6177	-9999.5000	5.2363	32.8534	-9999.5000	22.0929
812	20-21	3242.200	3245.000	8	219.7729	4.0427	2.5487	41.0924	1.9978	126.4552	-9999.5000	6.1281	61.9963	-9999.5000	22.2751
813	20-21	3245.400	3250.600	7	225.0069	9.1901	2.6024	58.5164	2.4079	32.0862	-9999.5000	7.3924	33.3971	-9999.5000	22.6183
814	20-21	3250.600	3251.200	0	209.5200	9.7690	2.6234	91.3327	2.4333	58.6387	-9999.5000	4.8509	23.2183	-9999.5000	22.5786
815	20-21	3251.200	3254.900	7	207.8986	8.6104	2.5916	55.2510	2.3483	75.9706	-9999.5000	4.2290	26.7274	-9999.5000	22.3475
816	20-21	3261.800	3262.100	1	212.1798	16.4280	2.6298	92.4290	2.8940	56.6330	-9999.5000	0.1000	-9999.5000	-9999.5000	22.6457
817	20-21	3265.300	3266.300	1	206.0755	9.4706	2.6157	58.0593	2.8482	63.0069	-9999.5000	4.1681	14.4991	-9999.5000	21.9815
818	20-21	3266.300	3273.800	7	228.3301	9.7621	2.5274	51.6468	2.3740	34.8393	-9999.5000	7.9409	39.8325	-9999.5000	22.3661
819	20-21	3273.800	3282.400	1	215.7391	11.6857	2.6316	64.3676	2.5350	42.4114	-9999.5000	5.8288	27.1853	-9999.5000	22.4249
820	20-21	3283.100	3284.600	1	212.4147	13.3933	2.6173	70.1585	2.8571	56.6001	-9999.5000	4.4467	23.8463	-9999.5000	22.1387
821	20-21	3286.000	3289.500	1	212.3118	14.4333	2.6425	76.2813	2.9911	41.0639	-9999.5000	4.9821	15.6619	-9999.5000	21.8075
822	20-21	3299.600	3299.900	1	230.0070	16.7810	2.5945	85.2190	2.7565	84.7655	-9999.5000	0.1000	-9999.5000	-9999.5000	21.8400
823	20-21	3304.700	3305.300	1	204.8849	17.1300	2.6419	79.6639	3.5204	144.7281	-9999.5000	0.1000	-9999.5000	-9999.5000	21.8819
824	20-21	3308.800	3309.200	0	316.8298	42.2768	1.9248	105.7616	2.6052	283.1578	-9999.5000	0.1000	-9999.5000	-9999.5000	21.9304
825	20-21	3309.700	3310.200	0	329.0800	44.3467	1.9645	120.2765	2.1937	136.1608	-9999.5000	0.1000	-9999.5000	-9999.5000	21.8535
826	20-21	3314.500	3315.100	0	256.5099	39.4633	1.9064	133.4450	1.7906	103.2601	-9999.5000	0.1000	-9999.5000	-9999.5000	21.8216
827	20-21	3316.700	3317.700	0	316.6674	38.8103	1.7141	124.6472	1.3157	1881.8929	-9999.5000	0.1000	-9999.5000	-9999.5000	21.7420
828	20-21	3325.000	3329.000	7	213.3609	7.5876	2.5525	41.5726	2.1604	56.2245	-9999.5000	5.8721	36.5562	-9999.5000	21.7846
829	20-21	3329.000	3331.900	8	213.9766	5.6172	2.5316	38.3938	2.1640	104.8607	-9999.5000	6.2091	59.4140	-9999.5000	21.9077
830	20-21	3332.400	3334.800	1	206.8659	7.7299	2.6288	71.8343	2.1937	42.0367	-9999.5000	3.9756	6.6170	-9999.5000	22.0898
831	20-21	3334.800	3338.300	7	210.8960	8.0752	2.5573	57.5205	2.2146	44.2512	-9999.5000	5.7335	28.3860	-9999.5000	22.0327
832	20-21	3354.500	3355.200	0	352.4932	47.5446	1.6556	101.6719	2.4263	305.1195	-9999.5000	0.1000	-9999.5000	-9999.5000	23.6446
833	20-21	3373.200	3373.900	10	403.6309	47.7456	1.5220	81.9964	0.7779	7336.3270	-9999.5000	0.1000	-9999.5000	-9999.5000	23.9459
834	20-21	3376.500	3377.500	10	398.2452	43.7123	1.4330	34.4035	0.3520	10939.2445	-9999.5000	0.1000	-9999.5000	-9999.5000	23.9776
835	20-22	3514.200	3515.400	1	147.8214	5.3117	2.9284	17.3976	3.5690	51.5542	283.2282	0.7567	-9999.5000	-9999.5000	21.1213
836	20-22	3521.600	3523.000	1	151.0577	9.2871	2.8007	20.3731	3.0825	286.6431	284.4139	0.8881	19.9854	-9999.5000	21.2246
837	20-22	3525.100	3526.500	8	166.1493	9.9105	2.7445	40.2071	3.2281	218.5403	302.4032	5.8269	69.1270	-9999.5000	21.5598
838	20-22	3529.600	3531.800	2	174.5536	15.0830	2.7067	19.7994	2.9819	28.2022	334.0994	3.9838	38.2302	-9999.5000	20.9380
839	20-22	3537.700	3538.300	1	158.6824	5.5283	2.7611	22.0371	3.8166	1182.4264	291.1720	0.1000	-9999.5000	-9999.5000	21.0656
840	20-22	3539.600	3541.200	7	162.2661	7.9292	2.7635	26.1172	3.3981	885.9840	291.2223	2.5871	41.1884	-9999.5000	21.1328
841	20-22	3550.400	3551.500	1	157.7657	8.0936	2.7938	32.7587	3.2228	362.1952	288.7295	0.1000	-9999.5000	-9999.5000	21.0636
842	20-22	3552.800	3553.400	0	189.2986	11.4974	2.6996	101.9416	4.0776	155.1016	331.2530	0.1000	-9999.5000	-9999.5000	21.0604
843	20-22	3572.000	3573.300	2	163.5034	4.3349	2.6869	30.7811	4.1201	327.6174	302.8750	2.6057	11.8892	-9999.5000	20.9884
844	20-25	3177.539	3178.039	1	206.4980	19.9682	2.6515	88.0305	2.9455	39.8532	-9999.5000	0.1000	-9999.5000	-9999.5000	24.4158
845	20-25	3187.339	3188.339	1	202.1902	13.4413	2.6629	75.6249	3.2337	50.5760	-9999.5000	0.1000	-9999.5000	-9999.5000	25.0781
846	20-25	3190.639	3192.539	1	217.2393	12.0402	2.5984	61.7142	2.8862	31.0577	-9999.5000	5.8588	22.0057	-9999.5000	24.8921
847	20-25	3193.639	3197.339	1	210.9826	11.6862	2.6503	75.5681	2.8263	34.4223	-9999.5000	5.0271	13.6948	-9999.5000	24.7117
848	20-25	3197.339	3199.639	7	232.8204	7.8880	2.5411	53.2837	2.4153	28.1773	-9999.5000	8.4535	43.7325	-9999.5000	25.6160
849	20-25	3200.339	3201.539	1	223.1647	11.0966	2.6088	72.3122	2.4292	21.0570	-9999.5000	1.8582	-9999.5000	-9999.5000	26.1931
850	20-25	3201.539	3203.239	7	254.5903	10.8689	2.4511	44.6002	2.1763	14.6328	-9999.5000	12.3562	45.0099	-9999.5000	26.8157
851	20-25	3203.839	3205.439	7	246.6002	12.3333	2.5111	62.6518	2.4364	16.0649	-9999.5000	9.7011	37.4772	-9999.5000	26.4467
852	20-25	3206.239	3206.539	1	206.7018	9.1233	2.5913	74.7715	2.4600	42.6782	-9999.5000	0.1000	-9999.5000	-9999.5000	23.4270
853	20-25	3212.739	3213.039	1	206.2680	13.8390	2.6803	86.8525	3.4145	52.7945	-9999.5000	0.1000	-9999.5000	-9999.5000	24.0557
854	20-25	3215.839	3219.739	7	222.5536	5.4982	2.5556	55.6681	2.1638	50.3492	-9999.5000	6.9721	46.6204	-9999.5000	24.4854
855	20-25	3219.739	3221.239	1	208.2435	5.6753	2.6173	69.9906	2.1662	40.1233	-9999.5000	4.5670	11.5459	-9999.5000	23.9286
856	20-25	3221.439	3224.339	1	211.5792	3.2796	2.5816	61.4248	2.0080	64.8952	-9999.5000	4.7625	35.4983	-9999.5000	23.5979
857	20-25	3224.639	3227.839	7	213.1025	3.0030	2.5400	46.0836	2.0364	74.5824	-9999.5000	5.3836	42.3734	-9999.5000	23.2427
858	20-25	3227.839	3228.439	0	209.8111	7.7331	2.6316	91.4941	2.3067	33.8651	-9999.5000	4.8304	9.1336	-9999.5000	23.2354
859	20-25	3228.439	3230.239	1	206.8392	6.7877	2.6121	76.4567	2.3146	39.2839	-9999.5000	4.3308	11.5817	-9999.5000	23.2785
860	20-25	3230.239	3230.639	0	211.2182	6.3452	2.6020	77.5350	2.2378	54.3886	-9999.5000	5.0670	31.5158	-9999.5000	23.0464
861	20-25	3230.639	3232.039	1	210.2389	4.7640	2.5763	53.6461	2.1348	47.7228	-9999.5000	4.9024	23.9924	-9999.5000	22.9089
862	20-25	3232.039	3232.939	0	206.7864	7.1588	2.6192	87.7047	2.4562	41.1872	-9999.5000	4.3220	13.6955	-9999.5000	22.8192
863	20-25	3232.939	3233.739	1	209.2087	7.2112	2.6092	72.5278	2.5218	30.1309	-9999.5000	4.7291	3.5015	-9999.5000	22.8129
864	20-25	3233.739	3234.339	0	213.0210	8.7974	2.6186	90.3083	2.5774	31.2573	-9999.5000	5.3700	14.8751	-9999.5000	22.8776
865	20-25	3234.339	3234.939	1	211.4306	7.9669	2.6054	82.2806	2.4881	31.8227	-9999.5000	5.1027	11.2626	-9999.5000	23.2474
866	20-25	3234.939	3235.439	0	213.7747	6.6332	2.5998	83.6478	2.3517	40.1298	-9999.5000	5.4967	25.7947	-9999.5000	24.1572
867	20-25	3235.439	3240.939	7	220.9921	4.7639	2.5346	49.1643	2.0297	52.7512	-9999.5000	6.6983	45.9958	-9999.5000	23.1385
868	20-25	3240.939	3241.239	1	217.3762	6.8247	2.5652	70.6112	2.3083	40.1305	-9999.5000	0.7317	-9999.5000	-9999.5000	24.1285
869	20-25	3241.839	3242.339	1	211.9757	8.4168	2.6208	84.5825	2.2570	32.0350	-9999.5000	0.1000	-9999.5000	-9999.5000	24.1258
870	20-25	3242.439	3243.639	1	212.7093	10.2269	2.6315	78.7034	2.6417	30.2955	-9999.5000	0.1000	-9999.5000	-9999.5000	24.0935
871	20-25	3253.939	3257.339	1	214.2997	9.0818	2.6061	73.9517	2.4790	42.9567	-9999.5000	5.5849	29.7252	-9999.5000	24.2056
872	20-25	3257.539	3258.539	1	213.7163	9.5636	2.6130	74.3058	2.4580	40.4391	-9999.5000	4.7259	25.5278	-9999.5000	24.3258
873	20-25	3262.039	3263.139	1	216.9045	9.4938	2.6089	82.5629	2.5817	43.6395	-9999.5000	5.9763	34.8343	-9999.5000	23.5173
874	20-25	3263.139	3263.839	0	227.3136	8.9316	2.5621	89.5685	2.6983	47.5355	-9999.5000	7.7566	51.6329	-9999.5000	23.9314
875	20-25	3263.839	3267.139	8	227.6883	7.4289	2.5118	55.6652	2.5217	103.8684	-9999.5000	7.8151	66.4480	-9999.5000	23.8703
876	20-25	3301.339	3302.439	0	382.4831	32.6785	1.3646	120.0498	2.6537	78.2991	-9999.5000	0.1000	-9999.5000	-9999.5000	26.0163
877	20-25	3310.839	3312.039	7	237.6379	10.4082	2.5002	51.8475	2.2482	61.1654	-9999.5000	8.4603	58.7668	-9999.5000	22.5119
878	20-25	3312.039	3312.339	1	227.1260	12.4545	2.5270	68.0258	2.6288	83.1425	-9999.5000	0.1000	-9999.5000	-9999.5000	22.5147
879	20-9C1	3399.000	3403.300	1	224.2593	-9999.5000	2.5856	63.0025	2.3806	51.1224	-9999.5000	5.9675	43.2646	-9999.5000	21.7098
880	20-9C1	3406.000	3411.200	1	224.3551	-9999.5000	2.6120	69.8359	2.5235	24.9443	-9999.5000	7.2748	23.5095	-9999.5000	21.7958
881	20-9C1	3411.200	3411.700	0	238.8940	-9999.5000	2.6133	88.6038	2.6945	34.1620	-9999.5000	9.7182	51.2657	-9999.5000	21.6770
