No.,Well,Dep,Dist,Code,AC,CNL,DEN,GR,PE,RLLD
73,42-12,3323.4,0.09,0,155.035,0.998,2.741,8.54,4.953,4018.563
74,46-10,3328.3,0.091,0,158.161,1.435,2.734,10.219,5.434,13226.297
75,Z28,3315.5,0.092,0,158.896,1.674,2.696,19.179,4.861,3517.056
76,Z28,3336.7,0.094,0,159.694,1.302,2.653,15.285,5.347,7500.676
77,70-3,3525.7,0.095,0,159.656,3.046,2.72,19.624,4.966,4277.878
78,42-12,3318.8,0.096,0,155.936,1.708,2.781,12.216,5.01,4657.064
79,74-01,3509.3,0.09699999999999999,0,154.271,1.814,2.751,12.446,5.043,25533.896
80,51-10,3496.2,0.099,0,157.072,2.335,2.692,13.996,4.843,3602.071
81,47-44,3531.3,0.1,0,154.626,1.44,2.684,11.993,4.917,27903.969
82,43-21,3405.0,0.102,0,159.234,1.3,2.744,13.925,5.081,3343.689
83,44-3,3353.5,0.10300000000000001,0,154.305,0.514,2.74,9.262,4.899,4002.576
84,70-010,3590.4,0.10400000000000001,0,157.626,0.533,2.729,10.366,5.094,3492.302
85,53-08,3466.5,0.106,0,155.631,1.691,2.728,21.316,5.04,29360.992
86,49-13,3369.0,0.107,0,157.898,-0.631,2.733,12.982,5.262,6423.3
87,53-08,3462.0,0.10800000000000001,0,156.02,1.512,2.724,14.934,5.103,3145.909
88,63-03,3455.3,0.11,0,162.448,-0.429,2.749,16.666,4.831,18263.605
89,56-04C3,3617.0,0.111,0,161.775,1.732,2.691,11.677,4.825,3402.769
90,43-35,3367.7,0.11199999999999999,0,159.189,1.646,2.736,13.354,4.798,31056.34
91,47-10,3372.0,0.113,0,158.742,1.366,2.716,24.256,5.039,3295.447
92,48-36,3321.9,0.114,0,151.487,0.131,2.781,13.245,4.911,7979.651
93,51-8,3486.5,0.11599999999999999,0,155.943,0.129,2.731,17.35,4.812,27226.855
94,74-01,3496.9,0.11699999999999999,0,157.863,0.929,2.702,14.987,4.748,31027.902
95,68-09,3573.6,0.11800000000000001,0,158.391,0.665,2.734,19.269,4.782,29896.451
96,43-23,3400.0,0.12,0,155.033,0.209,2.706,14.418,4.878,3352.865
97,49-13,3344.6,0.121,0,157.019,0.542,2.692,10.374,5.244,27310.225
98,47-38C4,3425.5,0.124,0,158.731,0.977,2.692,12.396,5.136,33239.238
99,72-04,3477.4,0.125,0,158.164,2.863,2.75,12.817,4.867,3528.856
100,70-010,3590.7,0.127,0,157.493,0.439,2.728,8.993,5.102,3163.634
101,64-01,3502.4,0.128,0,157.349,1.639,2.727,15.102,4.802,2848.722
102,62-04,3456.5,0.13,0,159.988,1.094,2.692,24.515,4.781,29306.281
103,41-44C3,3332.0,0.131,0,160.241,2.417,2.692,17.889,5.117,3072.438
104,68-09,3574.5,0.132,0,158.401,0.534,2.72,15.199,4.902,35768.387
105,70-010,3590.8,0.133,0,157.708,0.556,2.739,7.935,4.925,3036.206
106,44-3,3361.9,0.135,0,162.106,0.467,2.73,15.942,4.851,32612.404
107,43-46,3352.1,0.13699999999999998,0,157.541,1.082,2.718,11.447,4.923,2613.621
108,43-21,3392.4,0.138,0,157.271,0.88,2.696,14.894,5.578,9917.236
109,64-01,3501.5,0.14,0,156.352,1.2,2.718,13.652,4.722,2879.832
110,57-09,3468.7,0.142,0,154.405,1.282,2.726,13.163,4.779,34627.727
111,46-4,3437.4,0.14300000000000002,0,156.348,0.329,2.731,12.698,5.008,2780.536
112,72-04,3481.8,0.145,0,164.352,2.627,2.712,18.982,5.106,3382.091
113,47-38C4,3433.3,0.147,0,156.687,1.384,2.702,15.191,5.078,39870.016
114,46-27C3,3492.3,0.14800000000000002,0,157.119,1.168,2.738,18.536,4.921,2549.064
115,47-38C4,3425.4,0.15,0,158.777,0.996,2.694,12.428,5.088,39464.957
116,48-36,3330.4,0.152,0,154.168,0.556,2.759,11.51,5.51,10701.111
117,46-27C3,3492.5,0.152,0,156.875,1.144,2.736,18.562,4.908,2499.381
118,57-09,3476.0,0.154,0,158.06,2.764,2.751,12.456,4.819,2993.966
119,53-08,3466.9,0.154,0,156.181,1.676,2.725,22.158,5.257,33563.613
120,60-1,3414.1,0.156,0,156.433,1.912,2.71,10.625,4.942,40953.164
121,46-35,3348.0,0.157,0,154.162,1.709,2.731,13.577,4.9,39132.754
122,77-05,3436.9,0.158,0,162.961,4.495,2.697,20.764,4.975,8843.501
123,57-09,3468.8,0.159,0,153.875,1.186,2.738,12.605,4.768,35850.879
124,46-35,3329.8,0.16,0,155.776,0.961,2.712,10.191,4.992,41160.926
125,53-08,3469.8,0.161,0,156.28,1.271,2.707,20.62,4.947,41645.012
126,68-09,3597.4,0.162,0,158.669,0.418,2.709,16.848,4.951,41248.457
127,68-09,3575.0,0.163,0,159.599,0.574,2.699,13.644,4.877,41070.859
128,68-2,3647.6,0.16399999999999998,0,160.016,0.952,2.718,10.501,4.934,42471.16
129,68-09,3597.6,0.165,0,158.549,0.385,2.71,16.464,4.896,41251.387
130,47-38C4,3435.9,0.165,0,157.357,0.908,2.699,10.057,5.117,41168.73
131,47-38C4,3431.8,0.16699999999999998,0,153.678,1.353,2.707,14.581,4.903,41239.754
132,47-38C4,3426.4,0.168,0,156.494,0.812,2.715,11.719,5.114,42016.211
133,70-06,3551.5,0.16899999999999998,0,158.905,1.711,2.731,10.775,4.828,42550.535
134,57-09,3480.2,0.17,0,155.8,2.177,2.713,7.657,4.753,2663.751
135,68-2,3646.9,0.171,0,161.794,2.053,2.709,11.788,5.019,42554.746
136,47-44,3533.6,0.17300000000000001,0,159.095,0.803,2.705,8.187,5.063,42394.652
137,68-2,3647.0,0.17300000000000001,0,160.878,2.392,2.711,11.877,5.019,42539.75
138,60-09,3559.1,0.175,0,161.537,0.25,2.706,12.653,4.863,40055.91
139,41-43,3365.1,0.17600000000000002,0,156.252,3.419,2.697,21.239,5.277,3652.176
140,54-3,3535.4,0.177,0,154.551,0.251,2.719,13.209,5.013,40850.309
141,60-1,3408.0,0.17800000000000002,0,156.528,0.578,2.721,15.288,4.739,40918.547
142,66-1,3503.9,0.179,0,161.145,0.432,2.693,20.405,5.043,41061.695
143,47-38C4,3428.4,0.18,0,154.889,0.731,2.699,9.107,5.117,41228.078
144,57-02,3559.0,0.182,0,161.098,4.365,2.709,22.143,4.885,4655.591
145,70-3,3519.9,0.183,0,161.182,1.263,2.74,10.71,4.962,2220.655
146,66-1,3504.5,0.184,0,161.783,0.395,2.703,18.278,5.081,42273.688
147,61-05,3462.4,0.185,0,158.671,0.213,2.737,15.386,4.844,42586.258
148,77-05,3456.5,0.187,0,154.221,2.663,2.729,13.145,4.897,41360.254
149,53-09,3618.1,0.188,0,157.338,1.332,2.759,7.741,5.047,42273.563
150,48-36,3307.4,0.18899999999999997,0,151.65,1.977,2.757,15.91,5.059,2670.976
