No.,Well,Dep,Dist,Code,AC,CNL,DEN,GR,PE,RLLD
318,80-012,3469.6,0.445,1,152.074,0.968,2.743,16.416,3.848,30908.432
319,Z22,3430.9,0.449,1,158.934,2.648,2.797,8.979,4.01,2061.87
320,49-13,3340.6,0.455,1,170.219,1.585,2.786,21.817,4.047,1529.516
321,43-23,3393.3,0.45899999999999996,1,157.02,1.432,2.708,14.173,3.511,817.628
322,70-010,3513.6,0.46299999999999997,1,155.774,7.309,2.76,14.475,4.208,232.986
323,Z22,3430.3,0.46799999999999997,1,165.659,1.716,2.767,8.979,4.777,14677.493
324,56-04C3,3635.6,0.47200000000000003,1,150.729,7.374,2.783,24.517,4.103,658.517
325,68-09,3585.0,0.47600000000000003,1,157.276,2.55,2.786,16.017,4.586,12664.144
326,44-3,3360.5,0.48,1,158.235,0.437,2.74,15.302,4.748,28244.057
327,57-02,3570.8,0.485,1,155.578,0.231,2.731,12.699,4.273,42019.387
328,56-04C1,3640.5,0.49,1,157.037,1.379,2.732,10.544,4.571,38292.641
329,46-27C3,3482.4,0.494,1,154.703,4.014,2.764,21.159,4.253,209.921
330,48-30,3377.4,0.49700000000000005,1,154.0,6.124,2.687,20.129,4.543,1630.128
331,47-44,3465.6,0.501,1,158.478,6.519,2.785,23.66,4.008,455.101
332,49-43,3340.9,0.505,1,155.466,0.843,2.706,13.867,4.674,18455.59
333,46-27C3,3472.3,0.509,1,153.146,1.479,2.758,19.382,4.117,42398.359
334,41-22C3,3496.4,0.513,1,153.068,2.475,2.794,15.504,4.414,9338.314
335,Z28,3324.4,0.518,1,154.915,1.236,2.709,13.112,4.3,32697.238
336,70-010,3603.1,0.522,1,157.111,0.895,2.721,17.809,4.592,35567.715
337,43-23,3385.9,0.527,1,156.28,0.813,2.688,14.987,3.859,9057.929
338,56-04C1,3628.6,0.53,1,155.458,1.729,2.783,12.101,4.855,8696.42
339,64-05,3573.4,0.535,1,151.081,1.386,2.79,14.645,4.591,8510.5
340,53-08,3427.4,0.539,1,163.57,7.1,2.748,24.859,4.737,265.836
341,56-04C1,3637.2,0.545,1,156.322,1.534,2.726,18.423,4.612,41355.809
342,45-34,3440.6,0.5489999999999999,1,156.148,4.676,2.798,18.497,4.032,10516.511
343,44-20,3387.1,0.5539999999999999,1,156.209,1.318,2.762,12.98,4.455,44470.527
344,42-12,3340.1,0.5589999999999999,1,164.738,6.372,2.712,11.978,4.162,217.394
345,46-27,3342.5,0.565,1,159.791,6.904,2.772,23.705,3.797,266.101
346,Z18,3329.0,0.57,1,153.075,7.589,2.76,11.131,3.676,266.329
347,60-09,3607.2,0.575,1,156.708,7.254,2.775,20.584,3.906,255.116
348,47-10,3338.2,0.58,1,159.276,3.797,2.759,15.613,4.422,150.704
349,57-02,3580.4,0.586,1,160.471,0.856,2.684,14.03,4.342,11826.885
350,41-43,3338.0,0.591,1,171.153,5.659,2.773,21.059,3.955,343.904
351,70-3,3508.2,0.597,1,157.087,0.608,2.726,13.567,4.698,41813.926
352,43-23,3379.3,0.603,1,160.023,0.939,2.678,13.723,3.931,5393.195
353,46-35,3333.7,0.612,1,153.221,0.636,2.768,8.201,4.449,41854.172
354,44-3,3383.1,0.618,1,160.387,9.989,2.754,16.814,4.078,168.417
355,46-27C1,3439.8,0.626,1,151.976,0.258,2.72,11.913,4.615,40000.0
356,47-38C4,3430.3,0.634,1,155.32,1.719,2.712,9.851,4.612,41651.105
357,Z18,3333.1,0.642,1,160.648,7.765,2.734,12.785,3.531,215.011
358,Z54,3317.8,0.65,1,156.858,3.326,2.706,19.065,4.226,51569.867
359,56-04C3,3523.5,0.6559999999999999,1,161.891,8.802,2.693,21.442,3.861,418.003
360,47-38C4,3433.8,0.6659999999999999,1,156.316,1.351,2.706,14.057,4.643,38102.594
361,65-07,3465.6,0.674,1,154.558,2.125,2.704,11.386,4.622,37564.48
362,57-02,3500.4,0.6829999999999999,1,158.471,8.371,2.795,17.721,4.185,395.153
363,41-22C3,3503.7,0.695,1,152.23,3.071,2.81,19.639,4.223,5034.221
364,57-012,3587.2,0.7040000000000001,1,158.651,0.049,2.709,13.49,4.684,41522.301
365,68-09,3587.0,0.7140000000000001,1,156.851,1.093,2.786,12.268,4.275,41208.832
366,70-06,3532.6,0.723,1,151.445,2.769,2.784,10.844,4.248,42241.0
367,Z55,3373.6,0.736,1,158.887,9.608,2.717,11.868,3.4,316.594
368,41-43,3317.7,0.748,1,164.504,10.505,2.694,21.478,3.976,341.125
369,56-04C1,3621.3,0.7609999999999999,1,150.319,3.772,2.797,12.534,4.261,25258.58
370,45-34,3430.0,0.78,1,163.191,4.957,2.737,20.696,3.612,115.655
371,68-2,3636.4,0.8,1,158.392,4.126,2.794,11.621,4.296,42093.594
372,56-04C3,3562.0,0.818,1,156.252,8.639,2.686,13.602,3.932,281.312
373,70-010,3508.5,0.838,1,156.786,10.183,2.799,17.244,4.248,346.078
374,60-09,3469.8,0.856,1,157.993,12.106,2.721,12.247,3.485,226.711
375,47-44,3451.4,0.872,1,158.939,6.553,2.808,14.908,4.913,1682.104
376,48-36,3320.1,0.89,1,149.238,2.868,2.803,13.715,4.695,515.449
377,Z44,3454.8,0.912,1,154.412,8.118,2.78,24.809,3.988,73779.516
378,43-21,3359.3,0.934,1,162.029,11.527,2.732,12.541,3.493,146.3
379,49-43,3353.4,0.9590000000000001,1,160.482,2.017,2.804,18.321,4.922,16321.237
380,56-04C1,3595.2,0.99,1,158.955,12.453,2.761,19.082,3.741,110.494
381,56-04,3464.5,1.021,1,160.135,1.13,2.665,21.575,4.359,19877.438
382,60-09,3467.4,1.0490000000000002,1,165.831,9.919,2.703,12.182,3.292,256.353
383,43-46,3369.9,1.084,1,165.797,8.267,2.761,23.791,4.023,56.903
384,48-36,3323.7,1.125,1,149.187,0.453,2.819,11.744,4.347,16757.602
385,47-38,3345.6,1.166,1,165.002,3.264,2.674,22.467,4.321,146.68
386,46-43,3332.4,1.205,1,170.123,10.282,2.671,16.989,3.823,369.82
387,47-10,3337.4,1.247,1,163.051,3.701,2.662,12.321,4.29,212.837
388,63-010,3410.6,1.2930000000000001,1,163.131,9.096,2.685,12.204,3.513,125.33
389,Z18,3303.1,1.335,1,168.745,8.845,2.701,14.126,3.771,60.563
390,Z44,3450.3,1.391,1,158.811,14.83,2.686,14.453,3.728,140.808
391,62-04,3381.6,1.449,1,167.102,11.817,2.816,20.459,4.242,189.576
392,46-27,3319.2,1.5290000000000001,1,161.141,10.952,2.672,14.896,3.502,139.999
393,45-34,3397.2,1.611,1,173.455,8.941,2.662,17.994,3.491,321.158
394,45-34,3396.9,1.7,1,171.958,8.439,2.647,18.166,3.741,434.417
395,49-43,3303.8,1.79,1,178.18,11.579,2.696,23.757,3.304,110.991
396,46-27C1,3452.9,1.883,1,195.417,3.924,2.773,24.152,4.721,297.966
397,48-30,3372.6,1.9909999999999999,1,174.488,15.01,2.689,11.355,3.571,64.718
398,Z44,3449.9,2.15,1,170.269,12.979,2.658,16.047,3.776,74.463
399,56-04C3,3688.2,2.377,1,176.321,7.639,2.851,19.026,4.325,41358.176
400,61-05,3422.3,2.79,1,178.657,12.391,2.675,16.082,3.42,23.756
401,48-46,3276.2,0.008,2,173.393,8.213,2.745,55.234,4.057,611.242
402,48-30,3364.5,0.039,2,155.999,7.141,2.746,55.687,4.162,623.656
403,48-27,3273.7,0.052000000000000005,2,166.091,7.102,2.745,57.828,3.93,241.685
404,43-44,3278.9,0.061,2,167.954,7.02,2.747,45.185,4.12,226.714
405,57-02,3520.0,0.07,2,163.63,9.37,2.74,51.961,4.063,151.635
406,48-30,3363.6,0.077,2,166.234,6.846,2.723,59.911,4.045,690.223
407,43-21,3356.7,0.085,2,153.019,7.706,2.748,47.595,4.214,901.625
408,53-09,3583.5,0.09300000000000001,2,159.841,6.877,2.743,41.175,4.082,646.184
409,43-21,3351.5,0.099,2,162.643,7.907,2.756,41.472,4.012,417.225
410,53-08,3429.1,0.10400000000000001,2,168.308,7.868,2.771,46.927,4.169,518.415
411,43-46,3323.6,0.109,2,161.147,9.682,2.756,45.4,3.857,360.719
412,48-27,3299.2,0.115,2,166.699,9.231,2.746,55.912,3.683,624.791
413,54-3,3528.5,0.12,2,172.085,6.988,2.763,41.522,4.247,715.84
414,43-46,3287.2,0.126,2,166.47,14.046,2.741,56.596,4.366,206.456
415,44-36,3414.4,0.132,2,167.904,5.912,2.771,46.664,3.977,673.094
416,56-04C3,3525.2,0.13699999999999998,2,160.22,11.476,2.761,42.778,4.16,263.157
417,48-5,3321.9,0.142,2,165.419,7.172,2.778,52.34,4.037,515.733
418,54-3,3561.9,0.146,2,168.113,5.373,2.762,44.995,4.208,1773.043
419,64-05,3506.9,0.15,2,175.887,8.487,2.777,47.765,4.081,447.382
420,60-1,3441.4,0.153,2,159.275,9.52,2.72,51.698,3.806,693.096
421,44-7,3432.0,0.156,2,168.186,3.222,2.73,56.999,4.321,1923.709
422,63-03,3412.7,0.16,2,167.893,9.384,2.768,66.681,3.942,287.173
423,44-7,3431.7,0.16399999999999998,2,172.301,4.149,2.713,54.67,4.294,773.478
424,70-06,3566.8,0.16899999999999998,2,166.826,6.383,2.777,45.791,4.001,511.59
425,53-09,3583.1,0.172,2,169.385,9.686,2.776,60.983,3.891,367.579
426,47-10,3364.7,0.17600000000000002,2,156.521,3.973,2.733,39.922,4.047,876.343
427,53-09,3647.1,0.18,2,170.591,5.129,2.75,37.705,4.054,1539.367
428,70-3,3455.0,0.184,2,175.813,8.03,2.761,59.106,3.691,207.279
429,46-4,3469.6,0.187,2,159.593,5.904,2.775,43.751,4.247,474.903
430,44-7,3399.7,0.191,2,175.133,3.13,2.76,58.533,4.569,594.826
431,53-08,3426.1,0.19399999999999998,2,172.464,11.644,2.738,46.915,3.936,81.4
432,54-3,3501.7,0.198,2,160.186,7.723,2.761,35.875,4.002,343.545
433,46-27C1,3455.9,0.203,2,158.364,2.911,2.726,58.478,4.525,618.546
434,43-46,3286.4,0.20600000000000002,2,169.126,12.537,2.752,46.972,4.425,98.666
435,64-01,3439.2,0.209,2,172.379,8.008,2.785,54.799,4.18,260.928
436,48-27,3309.5,0.212,2,156.595,6.714,2.752,41.012,3.706,645.113
437,46-27C3,3522.3,0.215,2,158.31,4.314,2.764,67.322,3.875,983.843
438,57-012,3560.8,0.21899999999999997,2,160.91,3.3,2.757,38.113,4.198,1355.201
439,57-02,3538.2,0.222,2,157.817,9.028,2.768,44.282,3.744,300.75
440,70-04,3525.5,0.225,2,165.328,11.187,2.773,42.869,3.882,222.286
441,70-3,3476.4,0.228,2,163.163,8.016,2.782,42.672,4.172,368.515
442,60-09,3508.1,0.23199999999999998,2,161.198,7.968,2.771,36.469,3.994,467.513
443,57-02,3514.1,0.23600000000000002,2,163.919,9.493,2.742,39.785,3.621,387.324
444,64-01,3439.6,0.239,2,159.83,6.554,2.759,33.876,4.335,352.254
445,56-04C3,3626.6,0.242,2,153.392,7.573,2.75,36.69,3.787,650.65
446,48-5,3398.9,0.24600000000000002,2,158.18,9.058,2.77,40.618,3.77,495.035
447,57-02,3479.8,0.249,2,172.73,16.46,2.749,56.378,4.349,104.993
448,48-30,3382.6,0.252,2,169.063,9.817,2.702,63.343,4.104,299.873
449,48-36,3285.3,0.255,2,164.236,10.022,2.763,73.41,4.229,150.673
450,70-3,3556.2,0.259,2,157.431,5.946,2.756,76.157,3.97,653.258
451,77-05,3451.5,0.263,2,159.232,9.583,2.737,35.814,3.705,537.579
452,46-35,3375.1,0.266,2,160.592,3.715,2.737,32.494,4.16,1034.089
453,43-46,3368.1,0.26899999999999996,2,166.742,10.145,2.739,33.154,3.959,136.406
454,47-38C4,3447.6,0.273,2,157.828,5.558,2.71,69.242,4.19,299.201
455,72-04,3494.2,0.27699999999999997,2,163.269,3.464,2.744,48.666,4.632,2324.853
456,56-04C3,3671.4,0.28,2,158.418,7.034,2.751,29.25,4.163,466.041
457,63-03,3413.0,0.284,2,166.27,8.011,2.792,53.143,3.951,381.098
458,62-04,3394.1,0.287,2,165.326,11.042,2.781,58.332,3.868,126.796
459,57-02,3567.9,0.29100000000000004,2,159.668,4.915,2.745,32.417,4.274,1685.81
460,55-010,3481.2,0.294,2,164.243,1.527,2.725,37.522,4.433,711.096
461,45-34,3487.0,0.298,2,152.382,8.546,2.768,38.587,3.788,257.556
462,54-3,3501.5,0.301,2,152.997,6.403,2.761,31.539,4.086,342.484
463,70-010,3525.6,0.304,2,173.754,11.702,2.788,63.251,3.979,269.164
464,48-30,3361.7,0.308,2,169.151,11.766,2.73,79.128,3.957,460.189
465,47-10,3369.2,0.312,2,153.445,5.292,2.749,39.027,3.704,1726.698
466,49-13,3374.6,0.316,2,172.21,4.839,2.723,47.924,3.503,934.222
467,43-46,3322.5,0.32,2,160.551,9.379,2.754,33.25,4.5,1552.538
468,57-09,3462.5,0.324,2,161.0,6.844,2.753,28.622,4.104,1371.243
469,71-2,3526.4,0.32799999999999996,2,160.132,7.909,2.77,30.447,4.095,844.654
470,56-04,3438.0,0.331,2,181.85,7.608,2.712,49.514,4.486,91.0
471,Z28,3265.6,0.335,2,163.523,13.228,2.769,31.639,4.077,340.068
472,Z22,3367.0,0.33899999999999997,2,172.907,7.512,2.79,39.995,4.102,268.848
473,S233,3413.9,0.34299999999999997,2,162.523,9.655,2.726,46.001,3.442,304.449
474,46-6C1,3422.6,0.34600000000000003,2,153.967,5.658,2.774,32.752,4.158,681.746
475,47-38C4,3460.5,0.35,2,163.689,3.541,2.71,45.854,4.585,1316.785
476,56-04C1,3662.2,0.353,2,160.876,11.16,2.795,61.933,4.189,351.916
477,47-38,3300.0,0.35700000000000004,2,177.579,13.806,2.74,36.835,3.748,112.158
478,56-04C1,3650.4,0.36200000000000004,2,152.158,5.835,2.765,31.987,4.298,1346.611
479,68-09,3602.4,0.365,2,163.958,1.548,2.737,56.088,4.594,4051.841
480,Z97,3583.7,0.369,2,161.477,6.653,2.76,57.968,4.661,4462.744
481,62-02,3450.9,0.37200000000000005,2,173.108,8.025,2.724,67.159,3.497,177.249
482,56-04C3,3586.6,0.376,2,154.751,9.34,2.793,43.812,4.311,673.096
483,66-1,3470.3,0.38,2,152.744,6.806,2.766,29.707,3.936,850.894
484,56-04C1,3657.7,0.385,2,155.1,6.729,2.785,50.236,4.628,1024.596
485,56-04C3,3625.4,0.389,2,153.517,4.385,2.738,29.111,3.904,1251.868
486,Z55,3365.4,0.392,2,156.607,5.094,2.754,30.507,4.569,809.732
487,53-08,3429.9,0.395,2,169.602,10.369,2.797,57.536,4.397,210.542
488,57-09,3456.4,0.39899999999999997,2,162.362,4.316,2.714,41.62,4.689,1271.204
489,48-46,3277.7,0.40299999999999997,2,178.102,9.267,2.72,70.056,3.656,98.587
490,70-3,3558.3,0.40700000000000003,2,153.508,4.159,2.765,74.262,3.799,1859.439
491,46-4,3419.9,0.41100000000000003,2,152.072,6.534,2.785,34.799,4.007,460.066
492,Z55,3358.2,0.414,2,162.449,10.802,2.794,65.37,4.347,184.114
493,41-43,3318.7,0.418,2,166.723,13.215,2.714,35.553,3.748,165.064
494,70-04,3602.9,0.423,2,165.589,3.8,2.765,28.035,4.259,1676.913
495,48-30,3362.0,0.42700000000000005,2,167.531,11.957,2.751,84.231,3.862,527.865
496,56-04C1,3696.5,0.431,2,148.419,9.635,2.755,28.507,3.778,527.168
497,42-12,3376.0,0.435,2,153.425,7.57,2.772,27.554,4.287,655.465
498,43-23,3413.7,0.439,2,160.266,2.981,2.703,33.352,4.112,684.735
499,Z97,3437.1,0.442,2,180.643,9.209,2.789,70.449,4.407,167.014
500,70-04,3511.2,0.446,2,160.481,11.249,2.765,28.409,3.806,176.226
501,46-4,3472.7,0.451,2,155.43,3.784,2.778,29.509,4.102,662.435
502,64-01,3476.4,0.455,2,150.449,7.285,2.715,32.829,3.76,1288.424
503,63-010,3425.2,0.45899999999999996,2,155.934,6.673,2.734,44.07,4.004,11661.8
504,56-04C1,3662.0,0.46299999999999997,2,153.352,7.76,2.8,43.964,4.121,1021.213
505,47-38C4,3460.9,0.46799999999999997,2,161.64,3.494,2.695,46.602,4.59,741.736
506,43-44,3283.2,0.47200000000000003,2,162.642,6.865,2.788,33.165,4.42,240.228
507,53-09,3676.5,0.47600000000000003,2,158.891,6.916,2.789,32.413,4.16,1325.065
508,70-04,3552.2,0.48100000000000004,2,160.249,8.132,2.781,26.729,4.006,528.25
509,41-43,3378.0,0.485,2,155.738,6.842,2.776,25.847,4.0,470.45
510,44-7,3419.6,0.489,2,159.978,4.143,2.746,29.187,3.539,408.752
511,43-44,3360.2,0.495,2,164.372,5.391,2.797,54.118,4.24,3903.691
512,64-01,3477.7,0.499,2,151.71,4.347,2.748,28.67,4.064,3794.59
513,Z28,3302.0,0.503,2,170.965,8.171,2.685,51.86,4.568,599.694
514,56-04C1,3673.5,0.508,2,174.39,10.791,2.765,79.175,4.691,1313.543
515,53-08,3431.6,0.513,2,165.467,5.446,2.721,34.613,4.796,1606.923
516,77-05,3497.2,0.518,2,162.275,4.963,2.799,41.855,4.394,1629.329
517,57-04,3625.5,0.524,2,166.237,2.219,2.716,52.751,4.957,709.471
518,48-46,3235.4,0.529,2,153.401,4.833,2.744,28.178,3.582,220.968
519,46-10,3380.9,0.534,2,156.702,4.332,2.764,26.822,4.075,3346.079
520,48-5,3401.1,0.54,2,160.262,6.629,2.708,28.938,4.499,1537.074
521,56-04,3438.5,0.547,2,165.913,1.858,2.73,34.797,4.338,7829.328
522,61-05,3420.0,0.552,2,175.827,8.588,2.764,85.028,3.742,173.197
523,44-45,3288.2,0.5589999999999999,2,171.323,5.833,2.695,39.097,4.657,193.67
524,46-10,3320.6,0.5660000000000001,2,181.671,17.121,2.706,66.002,4.112,59.742
525,41-22C3,3481.7,0.5720000000000001,2,161.149,8.212,2.712,35.503,4.774,2335.316
526,49-43,3294.6,0.579,2,170.05,5.471,2.686,54.78,4.712,609.49
527,64-01,3463.4,0.585,2,155.962,8.179,2.756,36.095,4.938,1884.448
528,57-04,3616.4,0.59,2,178.409,11.527,2.73,87.103,3.838,1786.743
529,41-44C3,3355.5,0.597,2,163.355,3.53,2.73,34.13,4.626,6467.433
530,51-8,3446.6,0.604,2,164.725,11.708,2.763,27.681,3.802,50.258
531,51-10,3459.1,0.611,2,177.058,13.973,2.704,57.083,3.332,818.516
532,56-04C1,3672.2,0.617,2,153.028,5.653,2.794,32.898,4.22,2378.833
533,49-13,3374.4,0.625,2,168.474,2.998,2.714,31.708,3.541,2217.152
534,68-09,3579.4,0.632,2,163.128,2.494,2.705,36.929,4.698,2651.989
535,46-10,3351.2,0.639,2,192.533,10.185,2.748,85.0,4.359,77.699
536,46-10,3343.7,0.644,2,170.655,4.123,2.777,27.191,4.67,1572.672
537,70-04,3615.8,0.6509999999999999,2,180.059,3.541,2.698,29.394,4.558,689.438
538,47-10,3369.8,0.6579999999999999,2,172.032,6.868,2.676,69.406,4.372,408.684
539,47-44,3540.3,0.6679999999999999,2,157.911,3.985,2.778,26.753,3.982,4279.245
540,43-46,3307.4,0.675,2,172.773,8.431,2.725,35.935,5.045,144.853
541,49-43,3392.4,0.6829999999999999,2,163.135,5.277,2.711,43.692,4.05,19419.195
542,43-46,3383.5,0.6920000000000001,2,161.4,9.614,2.71,35.328,3.389,94.667
543,66-1,3437.2,0.7,2,170.216,4.101,2.805,30.2,4.041,296.123
544,70-3,3496.7,0.708,2,168.705,3.079,2.72,31.113,4.9,1975.922
545,57-02,3519.5,0.715,2,175.076,8.776,2.699,77.794,4.764,165.645
546,43-44,3361.3,0.7240000000000001,2,161.595,3.127,2.781,34.939,4.856,2346.158
547,66-1,3427.5,0.733,2,185.57,10.935,2.74,92.469,4.467,199.817
548,46-10,3359.4,0.7440000000000001,2,162.492,4.538,2.733,29.523,5.05,797.878
549,47-10,3373.2,0.753,2,160.168,4.064,2.7,33.029,4.772,2373.081
550,62-09C2,3407.0,0.764,2,178.476,13.969,2.801,75.621,4.082,73.682
551,46-27C2,3516.7,0.774,2,194.149,14.022,2.698,40.441,3.526,116.85
552,41-43,3334.7,0.784,2,177.374,15.491,2.706,25.961,3.691,113.143
553,54-3,3506.0,0.7959999999999999,2,180.578,13.316,2.758,91.815,3.67,208.843
554,47-38,3333.9,0.8079999999999999,2,176.269,10.058,2.672,48.141,4.24,56.852
555,64-05,3517.8,0.821,2,186.77,10.558,2.693,67.779,3.553,48.487
556,57-012,3575.0,0.833,2,166.139,0.821,2.721,32.046,4.892,4299.573
557,47-38C4,3449.8,0.845,2,163.052,3.772,2.713,34.02,5.096,1385.688
558,Z55,3377.1,0.858,2,159.362,1.826,2.715,30.016,4.945,2306.356
559,48-30,3376.4,0.872,2,164.651,11.741,2.711,94.102,4.536,720.936
560,70-04,3516.3,0.884,2,188.996,13.895,2.782,90.163,4.014,126.323
561,48-30,3377.9,0.8959999999999999,2,155.267,6.002,2.674,29.785,4.115,1599.611
562,41-44C3,3390.5,0.909,2,157.383,6.76,2.708,86.894,3.395,267.856
563,60-1,3353.0,0.922,2,171.459,15.538,2.813,69.81,4.212,54.561
564,46-27,3334.0,0.935,2,182.863,7.394,2.721,95.892,4.376,83.197
565,46-43,3297.0,0.9520000000000001,2,179.764,15.577,2.753,95.241,3.679,166.336
566,57-09,3409.5,0.966,2,223.661,14.769,2.74,71.497,3.57,161.514
567,57-012,3562.1,0.9840000000000001,2,156.587,3.379,2.819,37.003,4.123,3936.533
568,41-44C3,3372.0,1.003,2,163.338,1.267,2.744,25.331,4.63,16531.139
569,56-04C3,3639.2,1.02,2,170.219,8.844,2.766,102.34,3.88,273.38
570,53-08,3506.2,1.036,2,158.97,3.286,2.809,35.429,4.409,9363.439
571,41-44C3,3365.2,1.051,2,160.074,5.017,2.728,25.666,4.812,14926.533
572,57-04,3651.3,1.074,2,160.304,5.649,2.715,32.292,4.775,23729.285
573,64-05,3536.0,1.0959999999999999,2,167.463,5.253,2.712,34.252,5.134,7770.66
574,56-04C3,3592.4,1.121,2,166.426,2.699,2.693,42.981,4.709,23535.717
575,47-38,3314.2,1.148,2,202.16,18.64,2.692,53.253,3.632,29.318
576,65-07,3451.7,1.167,2,162.97,2.531,2.696,34.658,4.756,18777.912
577,57-04,3548.2,1.197,2,212.508,17.118,2.69,56.382,3.491,69.669
578,62-04,3459.2,1.224,2,159.099,2.165,2.7,28.446,4.723,17942.109
579,53-09,3699.6,1.258,2,183.501,11.211,2.789,103.041,4.231,1213.049
580,46-20,3491.4,1.287,2,180.174,17.865,2.677,81.219,3.4,422.848
581,60-1,3406.9,1.318,2,160.338,2.239,2.711,25.594,4.967,14843.266
582,53-08,3489.5,1.348,2,156.82,2.137,2.748,29.475,5.052,25244.604
583,55-010,3474.7,1.38,2,174.703,7.037,2.67,71.374,3.142,94.504
584,41-43,3353.5,1.421,2,163.421,11.66,2.647,68.002,3.791,57.17
585,44-3,3344.3,1.4580000000000002,2,189.246,7.583,2.637,57.017,4.049,135.041
586,64-05,3512.7,1.508,2,196.868,11.84,2.739,103.636,3.602,43.37
587,Z97,3512.6,1.558,2,161.372,0.644,2.706,25.605,5.255,8098.727
588,53-09,3615.3,1.611,2,162.656,4.698,2.82,26.447,4.796,13035.171
589,47-38,3335.1,1.676,2,186.469,13.973,2.643,29.005,3.895,92.919
590,46-35,3372.2,1.745,2,172.8,12.443,2.763,116.905,3.729,221.245
591,57-09,3394.5,1.829,2,175.679,24.257,2.808,95.896,4.365,62.314
592,56-04C1,3576.3,1.925,2,169.686,12.775,2.848,84.282,4.777,113.279
593,56-04C3,3528.2,2.073,2,179.219,17.893,2.743,118.75,3.709,74.883
594,64-01,3459.4,2.229,2,177.456,11.811,2.719,119.57,3.311,130.348
595,54-3,3561.0,2.445,2,212.619,11.536,2.723,123.072,3.61,590.459
596,56-04C1,3642.3,2.696,2,202.103,15.396,2.637,104.478,3.803,1274.342
597,51-8,3416.1,3.095,2,209.77,17.292,2.739,131.8,3.985,39.911
598,44-7,3485.3,3.71,2,184.536,4.94,2.72,145.903,4.666,99.066
599,46-43,3294.3,5.665,2,189.884,28.71,2.73,162.433,3.817,113.887
600,47-38,3331.9,19.86,2,296.124,38.201,2.778,244.473,4.914,21.088
601,49-43,3409.1,0.006999999999999999,3,153.836,6.833,2.848,16.893,3.068,969.453
602,46-27,3296.5,0.011000000000000001,3,153.505,5.991,2.847,24.926,3.066,1033.442
603,48-36,3298.9,0.013999999999999999,3,148.58,6.542,2.853,16.619,3.034,1174.659
604,49-13,3414.8,0.018000000000000002,3,153.72,6.397,2.843,22.238,3.115,871.457
605,70-06,3510.6,0.022000000000000002,3,152.354,6.179,2.855,24.87,3.062,1542.555
606,49-43,3324.3,0.025,3,149.587,7.944,2.847,22.477,3.056,689.359
607,65-07,3496.2,0.027999999999999997,3,150.284,4.903,2.851,22.999,2.923,1722.57
608,53-09,3605.5,0.03,3,154.006,6.856,2.851,22.837,2.804,1239.293
609,63-010,3416.5,0.032,3,151.028,8.528,2.848,15.298,3.129,686.924
610,65-07,3496.1,0.034,3,153.701,5.344,2.841,24.765,3.145,1531.877
611,Z22,3391.5,0.036000000000000004,3,152.253,9.384,2.852,16.156,3.142,842.05
612,Z22,3407.1,0.037000000000000005,3,152.124,8.3,2.834,14.895,3.009,1665.827
613,71-05,3507.4,0.039,3,153.534,5.765,2.842,23.993,3.135,1999.296
614,65-07,3497.4,0.040999999999999995,3,148.339,5.343,2.847,16.075,2.861,1939.523
615,46-20,3444.5,0.043,3,154.633,7.482,2.831,16.729,3.0,938.515
616,44-36,3412.0,0.046,3,152.776,4.578,2.832,18.438,3.021,943.819
617,Z97,3480.4,0.047,3,148.132,5.53,2.842,18.434,2.959,2367.051
618,47-44,3551.5,0.049,3,159.197,6.505,2.854,16.657,3.105,938.181
619,63-010,3416.4,0.05,3,152.178,8.082,2.835,15.171,3.143,693.91
620,53-09,3688.5,0.052000000000000005,3,154.262,7.221,2.849,20.862,3.083,471.936
621,70-06,3518.6,0.053,3,151.878,8.857,2.849,24.458,2.816,642.579
622,46-20,3456.3,0.054000000000000006,3,147.911,5.788,2.861,23.747,3.022,1695.862
623,Z22,3408.2,0.055999999999999994,3,154.386,7.702,2.851,14.01,3.228,1955.894
624,71-05,3511.2,0.057,3,155.371,7.349,2.842,22.739,3.256,874.009
625,80-012,3441.9,0.059000000000000004,3,154.885,5.838,2.839,15.579,3.021,477.057
626,63-03,3380.4,0.06,3,155.611,7.531,2.85,19.574,3.27,827.47
627,46-35,3382.2,0.061,3,151.14,4.503,2.843,18.526,3.27,922.419
628,42-12,3413.5,0.063,3,147.746,6.446,2.837,11.267,3.153,2033.153
629,61-05,3444.2,0.065,3,156.395,6.07,2.838,21.767,3.201,1901.391
630,47-44,3545.4,0.066,3,156.599,8.456,2.856,17.137,2.758,1052.67
631,46-4,3497.4,0.067,3,145.437,5.118,2.836,16.741,3.128,1511.14
632,46-20,3525.3,0.068,3,146.812,7.234,2.833,23.811,3.161,924.397
633,79-06,3449.3,0.071,3,151.833,6.962,2.848,21.995,3.247,2479.743
634,65-07,3441.4,0.073,3,154.845,4.449,2.852,19.741,3.203,2313.318
635,80-012,3458.8,0.07400000000000001,3,153.12,6.31,2.836,21.583,3.035,423.771
636,43-23,3418.7,0.075,3,148.157,3.682,2.846,23.067,3.238,829.441
637,49-13,3335.0,0.076,3,152.248,6.569,2.827,15.323,3.139,1667.974
638,48-5,3364.0,0.077,3,152.833,6.47,2.827,24.228,3.043,680.058
639,49-13,3335.7,0.078,3,154.009,6.48,2.826,17.543,3.099,1678.876
640,Z44,3427.7,0.079,3,150.116,10.682,2.833,23.411,3.041,1797.433
641,46-20,3530.5,0.081,3,151.042,8.509,2.845,24.411,2.91,389.171
