AC	CNL	DEN	GR	PE	RLLD	code	ÑµÁ·²âÊÔ·ÖÇø
157.42000	0.28000	2.71000	15.77000	4.98000	4.32190	0	2
159.14000	1.14000	2.68000	11.72000	4.62000	3.97283	0	0
157.37000	1.02000	2.71000	9.44000	5.04000	3.64458	0	1
159.83000	0.38000	2.69000	15.17000	5.00000	3.67428	0	2
155.89000	0.03000	2.71000	11.41000	5.18000	3.81584	0	0
157.36000	2.75000	2.67000	21.11000	4.78000	3.98221	0	1
163.88000	2.25000	2.75000	12.76000	4.95000	3.80047	0	2
163.02000	1.86000	2.70000	6.59000	5.23000	4.06808	0	0
154.94000	1.75000	2.73000	14.96000	4.80000	4.32403	0	1
161.39000	1.00000	2.70000	24.15000	4.80000	4.23085	0	2
155.43000	0.59000	2.72000	13.75000	5.30000	4.15648	0	0
156.06000	1.01000	2.74000	11.21000	5.32000	4.13048	0	1
156.45000	1.16000	2.70000	16.08000	4.85000	4.37206	0	2
155.59000	1.23000	2.70000	15.07000	5.11000	4.36494	0	0
156.39000	-0.36000	2.74000	11.29000	5.15000	3.91568	0	1
155.00000	1.86000	2.70000	13.36000	4.70000	3.73036	0	2
159.49000	1.66000	2.73000	11.83000	5.13000	3.63836	0	0
156.04000	1.12000	2.70000	14.83000	4.90000	4.38856	0	1
161.52000	2.53000	2.73000	17.45000	4.98000	3.67417	0	2
157.95000	0.69000	2.71000	14.44000	4.98000	4.39883	0	0
159.24000	0.28000	2.71000	8.39000	5.12000	4.29455	0	1
163.37000	1.76000	2.69000	6.89000	5.26000	3.98137	0	2
155.48000	0.62000	2.70000	10.32000	5.07000	4.34857	0	0
161.41000	2.44000	2.70000	23.77000	4.68000	4.00227	0	1
156.62000	0.74000	2.68000	10.47000	4.89000	4.33886	0	2
159.03000	2.85000	2.72000	19.39000	5.03000	3.67604	0	0
159.99000	3.34000	2.73000	14.89000	5.02000	4.23723	0	1
156.95000	1.39000	2.72000	17.09000	4.74000	4.36003	0	2
155.45000	2.17000	2.71000	16.82000	4.78000	4.34839	0	0
155.77000	2.35000	2.72000	13.30000	4.75000	3.67421	0	1
158.12000	1.21000	2.72000	15.79000	5.30000	3.69601	0	2
156.80000	2.11000	2.72000	10.55000	4.79000	3.63357	0	0
158.98000	0.01000	2.69000	19.89000	5.01000	4.31226	0	1
158.61000	1.88000	2.68000	19.56000	4.66000	3.75029	0	2
157.85000	0.08000	2.73000	11.97000	5.21000	4.26995	0	0
154.48000	0.94000	2.78000	14.05000	4.89000	4.23768	0	1
161.74000	0.84000	2.72000	11.23000	4.77000	4.34365	0	2
158.53000	1.22000	2.75000	14.02000	5.00000	3.58274	0	0
159.97000	0.35000	2.71000	8.00000	5.16000	4.31226	0	1
157.63000	0.64000	2.77000	15.82000	4.94000	4.32408	0	2
154.25000	0.54000	2.72000	12.74000	4.92000	3.61848	0	0
153.72000	1.82000	2.72000	13.67000	5.00000	3.59369	0	1
157.49000	1.02000	2.72000	19.75000	4.95000	4.43395	0	2
155.63000	0.64000	2.72000	10.73000	5.04000	3.59471	0	0
156.56000	1.30000	2.70000	13.16000	5.09000	4.43664	0	1
159.64000	0.60000	2.73000	14.21000	4.81000	4.39577	0	2
162.09000	2.72000	2.71000	22.35000	4.84000	3.71341	0	0
158.24000	3.49000	2.69000	21.27000	5.04000	3.79921	0	1
155.75000	1.74000	2.68000	14.85000	5.15000	4.39094	0	2
157.22000	0.37000	2.71000	15.58000	4.87000	4.41293	0	0
156.32000	2.09000	2.68000	12.08000	5.36000	4.15187	0	1
155.78000	1.41000	2.68000	9.37000	5.16000	4.37337	0	2
158.63000	0.63000	2.70000	13.28000	5.35000	3.72740	0	0
161.25000	3.43000	2.69000	24.80000	4.99000	3.94429	0	1
155.69000	1.70000	2.74000	13.14000	4.82000	3.57907	0	2
155.51000	3.23000	2.70000	14.73000	4.69000	4.17705	0	0
154.92000	0.61000	2.66000	9.61000	4.86000	4.31538	0	1
165.54000	-0.22000	2.75000	15.20000	4.88000	4.07828	0	2
155.70000	0.04000	2.72000	12.08000	4.86000	4.37160	0	0
152.82000	1.49000	2.70000	11.72000	5.00000	4.40758	0	1
158.06000	0.43000	2.73000	15.86000	4.81000	4.41230	0	2
157.71000	3.36000	2.71000	22.25000	4.84000	3.73992	0	0
157.32000	0.64000	2.74000	12.57000	5.08000	4.44072	0	1
156.47000	1.44000	2.73000	16.07000	5.02000	4.48085	0	2
156.29000	1.75000	2.73000	13.09000	5.05000	3.52405	0	0
157.97000	1.68000	2.74000	11.15000	4.82000	3.55108	0	1
157.22000	-0.54000	2.73000	7.92000	5.02000	3.72533	0	2
157.07000	2.34000	2.69000	14.00000	4.84000	3.55655	0	0
156.73000	0.27000	2.72000	11.45000	4.82000	4.41343	0	1
159.78000	1.00000	2.70000	18.16000	4.98000	4.48562	0	2
160.51000	3.05000	2.73000	18.84000	4.98000	3.61565	0	0
157.18000	1.79000	2.73000	11.72000	4.79000	4.45530	0	1
153.20000	0.18000	2.72000	15.78000	4.80000	4.35544	0	2
156.99000	0.40000	2.71000	16.08000	4.84000	4.45277	0	0
157.62000	0.75000	2.70000	13.80000	4.93000	4.48917	0	1
156.59000	0.51000	2.71000	12.21000	4.88000	4.46759	0	2
159.02000	2.32000	2.73000	12.65000	4.90000	3.51819	0	0
157.52000	1.00000	2.73000	18.66000	4.91000	4.48857	0	1
152.30000	2.09000	2.79000	19.20000	5.07000	3.79790	0	2
156.27000	1.15000	2.67000	11.84000	4.60000	4.25570	0	0
164.01000	1.95000	2.71000	14.93000	5.05000	3.55293	0	1
155.71000	0.88000	2.73000	14.84000	4.79000	4.46507	0	2
154.82000	2.62000	2.70000	16.72000	4.88000	4.43940	0	0
158.49000	1.69000	2.73000	12.93000	4.80000	4.48376	0	1
154.42000	1.06000	2.78000	14.62000	4.89000	4.35347	0	2
157.28000	0.82000	2.73000	10.65000	5.07000	4.49307	0	0
157.75000	1.02000	2.74000	18.08000	4.77000	4.46877	0	1
157.99000	1.14000	2.70000	14.21000	5.26000	4.44820	0	2
156.02000	1.71000	2.67000	15.44000	4.96000	4.48274	0	0
164.21000	1.91000	2.71000	14.29000	4.99000	3.53475	0	1
158.79000	0.72000	2.68000	14.88000	4.66000	3.60784	0	2
161.15000	1.67000	2.68000	16.20000	4.68000	4.40087	0	0
157.58000	1.24000	2.71000	18.87000	4.95000	4.52850	0	1
158.20000	1.77000	2.73000	15.48000	4.79000	4.49943	0	2
158.13000	1.40000	2.71000	13.81000	5.11000	3.46863	0	0
155.61000	0.26000	2.72000	12.75000	4.97000	4.48500	0	1
153.38000	0.23000	2.72000	9.63000	4.73000	3.63332	0	2
157.99000	0.36000	2.71000	14.33000	4.73000	4.45261	0	0
154.58000	0.88000	2.76000	10.68000	4.87000	4.44053	0	1
154.52000	1.25000	2.74000	11.62000	4.84000	4.48365	0	2
165.80000	-0.54000	2.73000	18.74000	4.99000	4.24038	0	0
157.64000	3.61000	2.71000	22.50000	4.96000	3.65694	0	1
158.97000	0.83000	2.73000	23.46000	4.91000	3.50666	0	2
154.73000	0.87000	2.76000	10.48000	4.82000	4.43853	0	0
158.12000	1.04000	2.73000	16.42000	4.88000	4.54440	0	1
154.80000	1.03000	2.68000	12.44000	5.24000	4.44686	0	2
157.93000	1.20000	2.70000	13.97000	4.71000	4.49806	0	0
157.49000	0.44000	2.73000	8.99000	5.10000	3.50019	0	1
157.56000	0.70000	2.73000	16.53000	5.02000	4.54285	0	2
158.18000	1.34000	2.73000	10.38000	4.78000	4.52533	0	0
157.21000	1.31000	2.70000	10.55000	4.74000	3.49021	0	1
166.35000	1.41000	2.72000	22.85000	5.16000	3.62686	0	2
157.01000	0.80000	2.74000	16.18000	5.05000	4.53723	0	0
159.15000	1.29000	2.65000	14.06000	5.47000	3.87457	0	1
157.42000	0.36000	2.72000	17.19000	4.92000	4.53585	0	2
154.58000	1.27000	2.72000	13.58000	4.79000	4.52507	0	0
157.08000	0.30000	2.70000	9.93000	4.92000	4.51959	0	1
160.01000	0.90000	2.68000	16.57000	4.83000	4.52493	0	2
156.14000	1.01000	2.72000	17.50000	4.74000	4.52244	0	0
158.64000	1.43000	2.70000	17.77000	5.13000	4.56150	0	1
154.74000	0.85000	2.73000	11.66000	5.10000	4.53327	0	2
158.42000	3.40000	2.67000	21.52000	5.28000	3.74205	0	0
153.20000	2.15000	2.70000	13.26000	4.72000	4.46916	0	1
157.74000	1.19000	2.73000	11.20000	4.93000	4.57804	0	2
156.13000	1.37000	2.74000	9.71000	4.85000	4.54900	0	0
